Star_name,Distance,Mass,Radius,Gravity
SDSS J000013.54+255418.6 [de],46.1,9.5472e+31,688743000.0,13424.170469859524
2MASS J00040288-6410358,192.0,3.7791e+31,1133991000.0,1960.1757065931872
2MASS J00242463-0158201,37.7,1.5713099999999999e+32,758313000.0,18225.97229335417
2MASS J00274197+0503417,236.0,6.165899999999999e+31,1001808000.0,4097.824172562099
2MASSW J0030300-145033,87.2,1.07406e+32,681786000.0,15411.972263846299
2MASS J00332386-1521309 [de],131.0,5.7681e+31,994851000.0,3887.2505465606537
2MASS J00345157+0523050,31.0,8.3538e+31,653958000.0,13028.97328295683
2MASS 0036+1821,28.6,8.3538e+31,653958000.0,13028.97328295683
2MASSW J0045214+163445,57.0,4.574699999999999e+31,1127034000.0,2402.229064918921
WISEP J004701.06+680352.1 [fr],40.0,2.3868e+31,904410000.0,1946.3061357262307
2MASS J00501994-3322402 [de],34.0,7.956e+31,653958000.0,12408.545983768408
2MASS J00584253-0651239 [de],96.0,5.7681e+31,994851000.0,3887.2505465606537
2MASSI J0103320+193536,70.0,1.0342799999999999e+32,681786000.0,14841.158476296436
SDSSp J010752.33+004156.1 [de],51.0,1.0342799999999999e+32,681786000.0,14841.158476296436
2MASSI J0117474-340325 [de],163.0,3.978e+31,1127034000.0,2088.894839059931
2MASS J01415823-4633574 [de],130.0,3.978e+31,1120077000.0,2114.924430241458
SDSS J015141.69+124429.6,70.0,9.3483e+31,674829000.0,13692.129553329658
SDSS J020742.48+000056.2 [de],111.0,9.3483e+31,674829000.0,13692.129553329658
2MASS J02103857-3015313,101.0,2.9835e+31,1064421000.0,1756.4063871680391
2MASS J02340093-6442068,155.0,3.978e+31,1127034000.0,2088.894839059931
2MASS J02411151-0326587 [de],152.0,5.3703e+31,980937000.0,3722.5637951305225
2MASS J02431371−2453298,35.0,6.5637e+31,688743000.0,9229.117198028423
LP 771-21,53.0,1.5514199999999999e+32,751356000.0,18330.052212750892
Teegarden's star,12.578,1.5912e+32,883539000.0,13595.624318008266
2MASS J02535980+3206373,184.0,1.29285e+32,1321830000.0,4935.4046401091055
WISE J0254+0223,24.0,1.29285e+32,1321830000.0,4935.4046401091055
DEN 0255-4700,16.2,1.5912e+32,674829000.0,23305.752431199417
2MASS J03185403-3421292 [de],45.0,9.7461e+31,674829000.0,14274.773364109646
2MASS J03205965+1854233,47.0,1.75032e+32,800054999.9999999,18239.108286402337
2MASS J03231002-4631237,192.0,4.574699999999999e+31,1154862000.0,2287.853809686898
SDSS J032553.17+042540.1,59.0,8.9505e+31,660915000.0,13667.274387994446
2MASS J03264225-2102057 [de],80.0,3.5801999999999996e+31,904410000.0,2919.459203589346
2MASS J03284265+2302051 [de],98.0,1.07406e+32,681786000.0,15411.972263846299
2MASS J03341218-4953322,27.0,1.4519699999999999e+32,723528000.0,18500.045300522765
LP 944-20,20.9,1.4519699999999999e+32,994851000.0,9785.14792754923
2MASP J0345432+254023,88.0,1.4718599999999999e+32,730485000.0,18397.962610273804
Teide 1,380.0,1.09395e+32,2629746000.0,1055.1050462598632
2MASS J03510004-0052452,48.0,2.0287799999999997e+32,883539000.0,17334.421005460536
2MASS J03552337+1133437,29.8,3.978e+31,918324000.0,3146.289953873326
2MASS J04151954−0935066,18.6,5.967e+31,660915000.0,9111.516258662965
2MASS J04285096-2253227 [de],85.0,1.5912e+32,758313000.0,18456.680803396626
2MASS J04351612-1606574,34.0,1.989e+32,876582000.0,17265.355302434124
2MASS J04362788-4114465,142.0,7.757099999999999e+31,1370529000.0,2754.5379810034583
2MASS J04390101-2353083 [de],29.5,9.5472e+31,674829000.0,13983.451458719652
2MASS J04433764+0002040,82.0,4.3758e+31,1238346000.0,1903.2651108419932
2MASS J04455387-3048204 [de],42.0,1.27296e+32,695700000.0,17542.705970012426
2MASS J04510093-3402150 [de],69.0,2.06856e+30,50090400000.0,0.05499015663825269
2MASS J05002100+0330501 [de],44.0,1.27296e+32,695700000.0,17542.705970012426
2MASS J05012406-0010452 [de],64.0,4.1769e+31,960065999.9999999,3022.5794982200846
2MASS J05160945-0445499 [de],73.0,9.3483e+31,674829000.0,13692.129553329658
2MASS J0523−1403,40.0,1.3525199999999999e+32,702657000.0,18271.860693204784
SDSS J053951.99-005902.0,41.62,1.21329e+32,702657000.0,16390.93385713959
LSR 0602+3910 [de],34.6,5.5692e+31,980937000.0,3860.436528283505
2MASS J06085283-2753583,102.0,7.5582e+31,1050507000.0,4568.212652819999
2MASS J06244595-4521548 [de],39.0,1.11384e+32,688743000.0,15661.532214836112
2MASS J06411840-4322329 [de],65.0,1.3326299999999999e+32,702657000.0,18003.156859481183
DENIS-P J0652197-253450 [de],51.0,1.49175e+32,730485000.0,18646.583726628854
2MASS J07075327-4900503,60.0,1.4320799999999998e+32,716571000.0,18602.64324277875
UGPS J072227.51-054031.2,13.4,5.1713999999999995e+31,681786000.0,7420.579238148218
2MASSI J0727182+171001 [de],29.6,8.154899999999999e+31,653958000.0,12718.759633362619
2MASS J07290002-3954043 [de],25.8,7.3592999999999995e+31,653958000.0,11477.905034985779
SDSS J074201.41+205520.5 [de],49.0,8.5527e+31,653958000.0,13339.186932551042
DENIS-P J0751164-253043 [de],55.0,1.41219e+32,716571000.0,18344.27319774016
2MASS J07522390+1612157,60.0,3.997889999999999e+30,47307600000.0,0.11915021828951182
DENIS J081730.0-615520,16.1,8.7516e+31,653958000.0,13649.40058214525
2MASS J08251968+2115521 [de],35.0,1.0342799999999999e+32,681786000.0,14841.158476296436
SDSSp J083008.12+482847.4 [de],43.0,9.5472e+31,688743000.0,13424.170469859524
LHS 2021,55.0,1.75032e+32,800054999.9999999,18239.108286402337
SDSS J083048.80+012831.1 [de],77.0,9.149399999999999e+31,667872000.0,13681.44522129604
2MASSI J0835425-081923 [de],23.53,1.2331799999999999e+32,695700000.0,16994.496408449537
2MASSI J0847287-153237 [de],43.0,1.27296e+32,695700000.0,17542.705970012426
2MASS J08533619-0329321,27.6,1.53153e+32,744399000.0,18434.85729773011
2MASSI J0859254-194926 [de],50.0,9.945e+31,681786000.0,14270.344688746573
2MASSI J0937347+293142,20.0,8.3538e+31,653958000.0,13028.97328295683
2MASS 0939−2448,17.4,6.3648e+31,660915000.0,9718.950675907161
2MASS J09490860-1545485 [de],59.0,9.7461e+31,667872000.0,14573.713387902306
2MASS J10073369-4555147,46.0,8.7516e+31,653958000.0,13649.40058214525
2MASSI J1010148-040649 [de],55.0,1.0143899999999999e+32,681786000.0,14555.751582521503
2MASS J10224821+5825453 [de],60.0,5.3703e+31,980937000.0,3722.5637951305225
2MASSW J1036530-344138 [de],53.0,9.7461e+31,674829000.0,14274.773364109646
2MASS J1047538+212423 [de],34.4,8.3538e+31,653958000.0,13028.97328295683
DEN 1048-3956,13.15,1.53153e+32,744399000.0,18434.85729773011
Luhman 16B,6.516,8.5527e+31,709614000.0,11328.821197233852
Luhman 16A,6.516,7.956e+31,702657000.0,10748.153348943992
DENIS-P J1058.7−1548,49.0,1.27296e+32,695700000.0,17542.705970012426
TWA 28,180.0,7.160399999999999e+31,1662723000.0,1727.5208956656902
Cha 110913-773444,163.0,1.5912e+31,1252260000.0,676.8019278554177
SDSS J111010.01+011613.1,63.0,1.7900999999999998e+31,862668000.0,1604.4114379767152
2MASS J11145133−2618235,18.2,6.5637e+31,667872000.0,9814.949832668899
TWA 26,137.0,5.967e+31,1530540000.0000002,1698.9965750915958
2MASS J11544223-3400390 [de],129.0,7.3592999999999995e+31,1043550000.0,4507.500839517082
2MASSW J1155395-372735 [de],31.0,1.27296e+32,695700000.0,17542.705970012426
2MASS J12074836-3900043,217.0,3.3812999999999997e+31,1189647000.0,1593.577946473975
2MASSI J1217110-031113 [de],36.0,8.3538e+31,653958000.0,13028.97328295683
2M 1237+6526,45.6,8.154899999999999e+31,653958000.0,12718.759633362619
TWA 29,262.0,3.978e+30,17392500000.0,0.8771352985006214
SDSSp J125453.90-012247.4 [de],38.0,9.3483e+31,681786000.0,13414.124007421777
Kelu-1A,61.0,1.2530699999999999e+32,681786000.0,17980.63430782068
Kelu-1B,61.0,1.15362e+32,681786000.0,16553.599838946026
2MASS J13204427+0409045,101.0,1.3326299999999999e+32,702657000.0,18003.156859481183
SDSSp J132629.82-003831.5 [de],65.0,1.0143899999999999e+32,674829000.0,14857.417174889628
SDSSp J134646.45-003150.4 [de],48.0,8.7516e+31,653958000.0,13649.40058214525
